level_equivalent_diameter,level_major_axis_length,level_minor_axis_length,level_solidity,nodes,distmap-skew,distmap-kurt
8.490631866455078125e+01,1.003725509643554688e+02,8.966358184814453125e+01,7.799972295761108398e-01,4.200000000000000000e+01,7.645773291587829590e-01,-2.681038156151771545e-02
8.648126220703125000e+01,1.102342910766601562e+02,9.755187988281250000e+01,6.747071146965026855e-01,4.300000000000000000e+01,1.489055871963500977e+00,1.996749758720397949e+00
7.262064361572265625e+01,1.105473937988281250e+02,6.118935394287109375e+01,7.362246513366699219e-01,2.500000000000000000e+01,8.977224230766296387e-01,-1.167850121855735779e-01
6.339040756225585938e+01,9.805661010742187500e+01,5.473812866210937500e+01,7.085765600204467773e-01,3.900000000000000000e+01,1.214298844337463379e+00,1.128249049186706543e+00
8.146240997314453125e+01,9.529899597167968750e+01,7.855076599121093750e+01,9.042331576347351074e-01,2.100000000000000000e+01,1.079322457313537598e+00,6.967175006866455078e-01
5.288957595825195312e+01,7.077742767333984375e+01,4.603298568725585938e+01,7.838030457496643066e-01,9.000000000000000000e+00,8.311833739280700684e-01,-2.477733045816421509e-01
7.735778045654296875e+01,1.371893768310546875e+02,5.552061462402343750e+01,8.308290839195251465e-01,5.000000000000000000e+00,6.598842144012451172e-01,-5.315026640892028809e-01
1.067616043090820312e+02,1.194454727172851562e+02,1.075443649291992188e+02,8.424618840217590332e-01,5.000000000000000000e+01,1.064185976982116699e+00,9.419522881507873535e-01
7.113265228271484375e+01,9.316101837158203125e+01,8.413549041748046875e+01,6.204527616500854492e-01,3.800000000000000000e+01,1.224736928939819336e+00,1.336844086647033691e+00
5.611346817016601562e+01,1.184021682739257812e+02,4.640456008911132812e+01,5.132834911346435547e-01,3.500000000000000000e+01,1.250780344009399414e+00,7.271082401275634766e-01
9.343088531494140625e+01,9.355176544189453125e+01,9.332297515869140625e+01,9.888936877250671387e-01,1.000000000000000000e+00,5.778875946998596191e-01,-5.933792591094970703e-01
7.978845977783203125e+01,1.011389389038085938e+02,8.066234588623046875e+01,7.256894111633300781e-01,1.700000000000000000e+01,9.574486017227172852e-01,9.808959811925888062e-02
6.560144805908203125e+01,8.965480804443359375e+01,6.607745361328125000e+01,7.019730210304260254e-01,8.000000000000000000e+00,8.971850872039794922e-01,6.583250164985656738e-01
9.049572753906250000e+01,1.003688735961914062e+02,8.559655761718750000e+01,9.695507884025573730e-01,1.000000000000000000e+01,5.249546170234680176e-01,-3.945160508155822754e-01
6.908039855957031250e+01,1.006698989868164062e+02,5.786080932617187500e+01,7.814845442771911621e-01,3.600000000000000000e+01,1.359219551086425781e+00,2.168636083602905273e+00
1.007358856201171875e+02,1.322937622070312500e+02,1.050529708862304688e+02,6.817209720611572266e-01,4.500000000000000000e+01,1.567005395889282227e+00,1.833340406417846680e+00
1.161956634521484375e+02,1.262416839599609375e+02,1.145909576416015625e+02,8.767983913421630859e-01,2.400000000000000000e+01,5.109108090400695801e-01,-4.962999522686004639e-01
7.932433319091796875e+01,1.379284515380859375e+02,8.437291717529296875e+01,5.534154772758483887e-01,3.100000000000000000e+01,7.626672387123107910e-01,6.927736848592758179e-02
1.013784484863281250e+02,1.351152648925781250e+02,9.075541687011718750e+01,7.525638341903686523e-01,1.200000000000000000e+01,4.579719305038452148e-01,-6.302120089530944824e-01
6.639243316650390625e+01,8.040110778808593750e+01,6.196466445922851562e+01,7.887901663780212402e-01,1.100000000000000000e+01,7.615236043930053711e-01,-2.403917461633682251e-01
2.193819808959960938e+01,3.363302230834960938e+01,1.482456016540527344e+01,9.667519330978393555e-01,2.000000000000000000e+00,3.798660039901733398e-01,-9.794924855232238770e-01
1.341775207519531250e+02,1.459328918457031250e+02,1.308427581787109375e+02,9.931170344352722168e-01,1.000000000000000000e+00,1.496800780296325684e-01,-8.361237645149230957e-01
4.878201293945312500e+01,6.150693511962890625e+01,5.013711547851562500e+01,7.669265270233154297e-01,2.100000000000000000e+01,8.901863694190979004e-01,-1.254196763038635254e-01
7.597939300537109375e+01,1.089011688232421875e+02,6.457010650634765625e+01,7.878366708755493164e-01,2.200000000000000000e+01,1.448319673538208008e+00,1.735395431518554688e+00
7.959673309326171875e+01,1.169719161987304688e+02,6.748749542236328125e+01,7.878404259681701660e-01,3.900000000000000000e+01,1.301022171974182129e+00,1.239863872528076172e+00
9.027738189697265625e+01,9.028269958496093750e+01,9.028269958496093750e+01,9.916343688964843750e-01,1.000000000000000000e+00,5.790433883666992188e-01,-5.444386601448059082e-01
5.352372360229492188e+01,7.038567352294921875e+01,4.835565567016601562e+01,7.550335526466369629e-01,2.200000000000000000e+01,1.215498089790344238e+00,1.271877646446228027e+00
3.907191085815429688e+01,4.520178222656250000e+01,3.442673110961914062e+01,9.187739491462707520e-01,1.000000000000000000e+00,5.201664566993713379e-01,-7.237272858619689941e-01
2.612386703491210938e+01,3.279576492309570312e+01,2.433026504516601562e+01,8.659127354621887207e-01,1.000000000000000000e+00,7.761688232421875000e-01,-9.672865271568298340e-02
3.884313201904296875e+01,5.769261550903320312e+01,3.507847976684570312e+01,6.829971075057983398e-01,1.200000000000000000e+01,1.090415358543395996e+00,7.865682244300842285e-01
9.315110015869140625e+01,1.082467117309570312e+02,1.045651779174804688e+02,7.537882924079895020e-01,7.400000000000000000e+01,1.323471903800964355e+00,1.177321910858154297e+00
7.271701049804687500e+01,1.173695373535156250e+02,8.832781982421875000e+01,5.385113954544067383e-01,7.000000000000000000e+01,1.270986318588256836e+00,1.259152412414550781e+00
7.431043243408203125e+01,1.028781051635742188e+02,7.222157287597656250e+01,7.239192128181457520e-01,1.900000000000000000e+01,8.030226826667785645e-01,-2.334683835506439209e-01
7.137388610839843750e+01,1.100688247680664062e+02,7.671212005615234375e+01,5.598152875900268555e-01,3.600000000000000000e+01,1.093288660049438477e+00,5.810236930847167969e-01
6.620999908447265625e+01,1.085808944702148438e+02,6.621497344970703125e+01,5.700331330299377441e-01,6.400000000000000000e+01,1.776632547378540039e+00,3.557919025421142578e+00
3.468733596801757812e+01,4.954602050781250000e+01,2.847057914733886719e+01,8.146551847457885742e-01,6.000000000000000000e+00,9.749990701675415039e-01,2.049317806959152222e-01
4.712249755859375000e+01,9.224512481689453125e+01,3.963412094116210938e+01,5.675235986709594727e-01,1.000000000000000000e+01,8.637512922286987305e-01,-1.213686391711235046e-01
7.630546569824218750e+01,9.788121795654296875e+01,8.080838775634765625e+01,6.872557997703552246e-01,5.400000000000000000e+01,1.052313566207885742e+00,9.061546921730041504e-01
6.302783203125000000e+01,1.048995819091796875e+02,7.161040496826171875e+01,5.533877015113830566e-01,3.300000000000000000e+01,1.052125930786132812e+00,2.908706068992614746e-01
8.633390808105468750e+01,1.020602493286132812e+02,8.369558715820312500e+01,7.549651861190795898e-01,1.700000000000000000e+01,1.258561015129089355e+00,8.575162887573242188e-01
6.593056488037109375e+01,8.396910095214843750e+01,6.519263458251953125e+01,7.930313348770141602e-01,1.400000000000000000e+01,6.338905096054077148e-01,-5.387418866157531738e-01
2.912005424499511719e+01,3.822587585449218750e+01,2.385623550415039062e+01,9.036635160446166992e-01,3.000000000000000000e+00,5.513693690299987793e-01,-1.858374476432800293e-01
1.020606307983398438e+02,1.150815277099609375e+02,9.587752532958984375e+01,9.646267890930175781e-01,3.000000000000000000e+00,1.323971629142761230e+00,1.624590039253234863e+00
2.715153121948242188e+01,4.764791870117187500e+01,3.151408767700195312e+01,5.331491827964782715e-01,1.600000000000000000e+01,1.332472681999206543e+00,1.739967703819274902e+00
6.096380996704101562e+01,7.731816101074218750e+01,6.993078613281250000e+01,6.353939771652221680e-01,2.100000000000000000e+01,7.977009415626525879e-01,-8.201334625482559204e-02
6.620999908447265625e+01,9.945905303955078125e+01,5.544092941284179688e+01,6.955555677413940430e-01,1.900000000000000000e+01,9.259127378463745117e-01,9.143747389316558838e-02
7.211923217773437500e+01,1.253072280883789062e+02,6.548489379882812500e+01,6.025962233543395996e-01,1.000000000000000000e+01,8.432047367095947266e-01,1.221433505415916443e-01
3.362494277954101562e+01,4.986157989501953125e+01,3.069910049438476562e+01,6.799387335777282715e-01,1.100000000000000000e+01,1.027695059776306152e+00,5.579361319541931152e-01
3.997393798828125000e+01,5.093257522583007812e+01,3.959181213378906250e+01,7.492537498474121094e-01,1.600000000000000000e+01,9.266662001609802246e-01,4.193242192268371582e-01
7.455845642089843750e+01,1.479095764160156250e+02,7.391297149658203125e+01,5.162587165832519531e-01,1.500000000000000000e+01,1.010799407958984375e+00,5.036880373954772949e-01
3.534187316894531250e+01,4.301403427124023438e+01,4.299472427368164062e+01,5.431893467903137207e-01,3.000000000000000000e+00,1.040653228759765625e+00,1.879583895206451416e-01
1.029549407958984375e+02,1.385807495117187500e+02,1.067087707519531250e+02,7.014661431312561035e-01,1.600000000000000000e+01,1.332300305366516113e+00,1.616816520690917969e+00
6.130744934082031250e+01,1.204589233398437500e+02,5.187916564941406250e+01,5.545744895935058594e-01,2.800000000000000000e+01,1.016404151916503906e+00,4.047149121761322021e-01
7.345739746093750000e+01,9.411066436767578125e+01,6.431971740722656250e+01,8.638402223587036133e-01,2.700000000000000000e+01,9.690548181533813477e-01,6.819103658199310303e-02
3.619618225097656250e+01,4.983949661254882812e+01,3.753300094604492188e+01,6.686159968376159668e-01,1.000000000000000000e+01,1.055216670036315918e+00,6.745111942291259766e-01
9.639555358886718750e+01,1.096902542114257812e+02,1.034691848754882812e+02,7.303112149238586426e-01,4.900000000000000000e+01,7.989552617073059082e-01,-1.824093610048294067e-01
8.124330139160156250e+01,1.245374832153320312e+02,7.646078491210937500e+01,6.585366129875183105e-01,1.600000000000000000e+01,1.064028620719909668e+00,7.952233552932739258e-01
3.450331878662109375e+01,7.605753326416015625e+01,2.391097068786621094e+01,5.989750027656555176e-01,1.300000000000000000e+01,7.194635868072509766e-01,-1.574884206056594849e-01
1.052240066528320312e+02,1.342879943847656250e+02,1.085427627563476562e+02,7.890391349792480469e-01,4.300000000000000000e+01,1.037557244300842285e+00,7.065334320068359375e-01
2.525654411315917969e+01,6.361912155151367188e+01,1.587618923187255859e+01,5.560488104820251465e-01,1.000000000000000000e+01,1.219019889831542969e+00,1.437640070915222168e+00
5.904345703125000000e+01,1.044551086425781250e+02,4.946805572509765625e+01,6.804174780845642090e-01,9.000000000000000000e+00,1.518841266632080078e+00,1.751604676246643066e+00
9.363507843017578125e+01,1.310603942871093750e+02,1.043173217773437500e+02,6.211437582969665527e-01,4.000000000000000000e+01,1.143565773963928223e+00,6.351415514945983887e-01
5.901110076904296875e+01,6.979272460937500000e+01,5.651220321655273438e+01,8.822580575942993164e-01,1.800000000000000000e+01,7.142882943153381348e-01,-2.557848095893859863e-01
6.983199310302734375e+01,8.863478851318359375e+01,7.592888641357421875e+01,6.791984438896179199e-01,3.900000000000000000e+01,1.396898984909057617e+00,1.829596519470214844e+00
8.230982971191406250e+01,9.373232269287109375e+01,7.644961547851562500e+01,7.756559848785400391e-01,5.000000000000000000e+00,5.894885659217834473e-01,-6.501014828681945801e-01
7.963671112060546875e+01,9.279431152343750000e+01,7.144937133789062500e+01,9.962000250816345215e-01,1.000000000000000000e+00,-1.726775020360946655e-01,-9.901085495948791504e-01
4.626354598999023438e+01,5.750205993652343750e+01,4.042524337768554688e+01,8.696327209472656250e-01,1.000000000000000000e+01,7.792727351188659668e-01,-4.887138903141021729e-01
2.689237976074218750e+01,3.533393859863281250e+01,2.335404396057128906e+01,8.528528809547424316e-01,3.000000000000000000e+00,6.883342266082763672e-01,-4.380447268486022949e-01
7.469495391845703125e+01,1.203511428833007812e+02,6.579027557373046875e+01,6.059181690216064453e-01,6.700000000000000000e+01,1.166118621826171875e+00,1.347128033638000488e+00
4.862515640258789062e+01,6.175716400146484375e+01,4.384995651245117188e+01,8.316166400909423828e-01,1.800000000000000000e+01,7.708342075347900391e-01,-2.235740125179290771e-01
7.073776245117187500e+01,1.025823669433593750e+02,7.086767578125000000e+01,7.105405926704406738e-01,1.100000000000000000e+01,1.313663959503173828e+00,1.211159586906433105e+00
4.777989578247070312e+01,9.277906799316406250e+01,4.800478744506835938e+01,5.552802681922912598e-01,8.000000000000000000e+00,7.674201726913452148e-01,-2.010495960712432861e-01
7.675466918945312500e+01,1.245186767578125000e+02,6.236751556396484375e+01,7.359631061553955078e-01,3.200000000000000000e+01,1.212915182113647461e+00,1.563857078552246094e+00
4.931417083740234375e+01,7.234220886230468750e+01,5.944151687622070312e+01,5.512265563011169434e-01,1.900000000000000000e+01,1.173948287963867188e+00,9.348086118698120117e-01
8.036880493164062500e+01,1.166192169189453125e+02,7.280166625976562500e+01,6.997241377830505371e-01,5.800000000000000000e+01,1.043800711631774902e+00,4.694083333015441895e-01
5.001915359497070312e+01,6.045461654663085938e+01,4.195134735107421875e+01,9.800498485565185547e-01,1.000000000000000000e+00,4.531725943088531494e-01,-7.849442362785339355e-01
8.438737487792968750e+01,1.340598754882812500e+02,9.831694030761718750e+01,5.041463971138000488e-01,7.500000000000000000e+01,1.344548940658569336e+00,1.895115375518798828e+00
1.062775039672851562e+02,1.247724227905273438e+02,9.963871765136718750e+01,9.102195501327514648e-01,1.000000000000000000e+01,5.685369968414306641e-01,-3.308606743812561035e-01
1.815954399108886719e+01,2.169700241088867188e+01,1.910946846008300781e+01,6.379310488700866699e-01,3.000000000000000000e+00,1.099443674087524414e+00,3.298591673374176025e-01
9.114063262939453125e+01,1.213849868774414062e+02,8.435195922851562500e+01,7.581638693809509277e-01,5.100000000000000000e+01,1.785500168800354004e+00,3.147840261459350586e+00
4.082487487792968750e+01,7.822567749023437500e+01,4.578206253051757812e+01,5.001910328865051270e-01,1.300000000000000000e+01,1.061547636985778809e+00,3.692515194416046143e-01
3.784698867797851562e+01,6.309414291381835938e+01,2.974313354492187500e+01,7.120253443717956543e-01,1.000000000000000000e+01,8.974441289901733398e-01,1.991991549730300903e-01
6.513397216796875000e+01,9.931996154785156250e+01,5.194683837890625000e+01,7.957965135574340820e-01,1.700000000000000000e+01,8.159311413764953613e-01,-1.670794188976287842e-01
2.149851036071777344e+01,4.620329666137695312e+01,1.655486869812011719e+01,5.921696424484252930e-01,2.000000000000000000e+00,1.157614231109619141e+00,7.985301613807678223e-01
